,Unnamed: 0,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_sigma5d_max,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,radial_velocity,radial_velocity_error,l,b,fidelity_v2,X,Y,Z,v_a_lsr,v_d_lsr,U,V,W,mag_abs_g,bp_rp,g_rp,region,cluster_label_group_0,cluster_label_group_1,cluster_label_group_2,cluster_label_group_3,cluster_label_group_4,cluster_label_group_5,cluster_label_group_6,cluster_label_group_7,cluster_label_group_8,cluster_label_group_9
57903,57903,3025467464015146624,89.35784246426158,0.014267015,-2.470901399886345,0.012413935,4.784099509407815,0.017487427,4.0291114,-3.4340017382735706,0.017736183,-2.1074556335247823,0.016434604,-0.07517571,-0.03597847,-0.013586773,0.117495626,-0.2683803,0.14168449,-0.3607293,0.08765768,0.21481152,-0.2268021,0.026655534,1.0057299,452655.72003368486,311.8343,11.547947,241149.07319173985,405.22018,11.882828,301595.03702835954,355.93558,11.0493355,31.102982,0.74188536,208.9283527308473,-13.13542790356328,1.0,-178.15798219370478,-98.46357162762833,-47.5018278823467,-2.736713584681053,4.268569448945044,-25.575162972861435,-14.472075329082983,-10.945526977990417,4.946948022060278,0.8334925000000002,0.4986115000000009,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
59869,59869,3026375282662624384,89.63152593077655,0.0126380995,-0.5578178389955935,0.011894908,4.563632317550525,0.01631199,6.6881695,-2.2369046579237573,0.015785666,-6.303004910170364,0.013376278,0.014705693,0.060714386,-0.0031338995,0.19978005,-0.45587996,0.21449369,-0.41557375,-0.022329757,0.23251449,-0.058686126,0.022351146,1.0754113,80756.1153570178,18.50814,13.419428,33747.43745848738,36.122078,14.0179405,66913.73811853511,41.49446,12.684107,-5.2415,1.7754846,207.31871144776537,-12.009970339390136,1.0,-190.4228913195638,-98.36337491468284,-45.595668083010544,-1.5784015403701954,0.3693704239913694,7.663845939238993,-1.3546846455915855,-3.89474574765087,6.715981234721934,1.3338335000000008,0.7353210000000008,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
85377,85377,3214180797923628160,79.29538525492696,0.22187848,-2.7769047405965543,0.19482265,4.983472928027267,0.31573182,1.6538911,-1.6426617664714394,0.2984949,-0.192400309868839,0.24537246,0.1305419,-0.10176183,-0.14095572,-0.04413295,-0.2191352,-0.046888474,-0.2979198,0.2781793,0.10781554,-0.08192091,0.4222213,1.1024333,333.8610689248964,1.4163015,19.378452,,,,,,,,,204.30149283116853,-22.176935612541584,0.94189453,-169.35380231294033,-76.4715049517272,-75.74396753595394,-3.804492733768018,6.090297755083953,,,,12.866112516817145,,,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
94751,94751,3217090861603008000,82.22418627069034,0.008855947,-2.1778087553790555,0.006975673,4.7751779371228125,0.012967756,3.681021,-1.0791991417519422,0.012315127,-3.519267680312303,0.008888264,0.21487193,-0.13915649,-0.056782078,-0.19135143,-0.1671423,-0.10666646,-0.44605565,0.29619014,0.22635382,-0.006213518,0.017360963,1.0576769,190902.3983652312,232.68698,12.485338,90455.91341038037,378.59464,12.94745,142715.16556042654,473.1267,11.86172,21.129879,1.6966755,205.2125968500754,-19.31425413093165,1.0,-178.80251340018916,-84.18611753808963,-69.26425593902661,-2.470065308295602,2.9510882860434844,-16.16760042756238,-10.463509509212937,-9.431283753664625,5.88028579653156,1.08573,0.6236180000000004,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
96540,96540,3217462633972732160,85.41438298548871,0.11914882,-1.1112688250601328,0.1036595,4.390382041270019,0.14543943,5.58564,-2.091778320206461,0.14141722,-5.179173414561999,0.1170928,-0.03397459,0.024059277,-0.34354538,0.15818407,-0.15838338,0.17795727,-0.66469914,0.21217307,0.2966804,-0.06034091,0.20600776,1.0255114,1017.6834882965944,1.337741,18.168335,164.4277793599778,9.257572,19.798605,1353.156729486415,10.947141,16.919525,,,205.7959137094296,-15.998030469172027,1.0,-197.13097298274172,-95.27951532423532,-62.774554392532096,-2.73472628752546,1.163117395127674,,,,11.380846566126657,2.8790799999999983,1.2488099999999989,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
96644,96644,3217490190482676224,84.62804324232165,0.09894514,-1.236394505423261,0.083399326,4.861769605446136,0.121210955,1.6349562,1.6349508312055947,0.11938052,-0.0042005640066312,0.09618812,-0.13208759,-0.10061451,-0.25578964,0.100828625,-0.23537375,0.12772879,-0.5938207,0.121542685,0.2867373,-0.18155405,0.1743209,1.0834943,1476.8478261512244,1.6882704,17.764027,260.58293452373806,12.924379,19.298677,1881.2130364538928,14.158956,16.5618,,,205.5264872212894,-16.750962515551457,1.0,-177.73255852955032,-84.87498182747582,-59.281360807468026,0.8903632918474594,6.714814433853264,,,,11.197998870999951,2.736877,1.202226999999997,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
96959,96959,3217561422517550208,83.53373141374914,0.2724671,-1.5064178708726803,0.23281103,4.954190895444277,0.3295094,1.4287103,-1.3834962418258518,0.31131214,0.3565829835321703,0.2736199,-0.22527918,-0.08861668,-0.37113634,0.18918242,-0.22259864,0.23380199,-0.69008803,0.1033726,0.29362422,-0.29772693,0.49750513,4.701826,3106.973086872892,15.59911,16.956524,513.2618014789048,12.624454,18.562695,4695.682972594873,18.243912,15.568648,,,205.23723459986743,-17.84342543919054,0.5888672,-173.80011423916824,-81.92214529006544,-61.85002198960163,-2.34418323948172,6.981615674091441,,,,10.431387684281797,2.994047000000002,1.387876000000002,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
97076,97076,3217579491443356288,84.10897079783747,0.023123378,-1.3266171305387866,0.020720521,4.93960874433689,0.026935438,4.83565,-0.2325723693175903,0.02632481,-4.830053968568165,0.022955388,-0.37688446,0.17522907,-0.31021044,0.4231708,-0.30561444,0.35835212,-0.6566252,0.11457522,0.3127429,-0.3334994,0.043582294,1.8868755,163569.51862783913,48.856285,12.6531105,76630.58913557818,40.931522,13.127537,125590.76580133491,47.816673,12.000502,-1.9399933,1.1689911,205.35465302789032,-17.251401400354098,1.0,-174.71435977585983,-82.79110607177832,-60.03813517472992,-1.07719421358167,2.057386196385915,4.018057949049746,-2.506277677620517,-1.695133885013273,6.121573253823875,1.1270350000000011,0.6526085000000013,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
97928,97928,3217753218576538624,84.02068822953112,0.11485069,-0.8081198768310568,0.100179695,4.745515203320744,0.14714278,5.2318845,-3.817699103049901,0.13365404,-3.5773997358408347,0.118495,-0.1989556,0.035513006,-0.16970573,0.18750636,-0.305271,0.1698361,-0.60785794,0.038092047,0.3641769,-0.17598316,0.20181724,0.98392296,916.7243342080156,1.670934,18.28177,117.049957212564,10.689486,20.167614,1315.0574137117846,17.254,16.950533,,,204.83254007420803,-17.084727102001303,1.0,-182.802199608646,-84.59251409900716,-61.90803045419875,-4.69317756787025,3.270309684865965,,,,11.663186845474051,3.2170810000000003,1.3312370000000016,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
98477,98477,3217878803419258240,87.47755530187553,0.33621624,-1.742517775467752,0.33842498,4.236565151211261,0.4075801,5.2440453,-4.279288291582513,0.4087978,-3.0311226257863817,0.35488346,-0.27330327,0.25126398,-0.31378254,0.37362123,-0.2720217,0.35435632,-0.83310264,0.003678764,0.35478675,-0.18550481,0.6611343,1.0743334,293.70221940542604,0.8387175,19.5176,64.06529129295579,6.328363,20.821985,431.93937162524486,5.162371,18.159338,,,207.3709614453276,-14.46730262168355,0.9736328,-202.9683839900942,-105.0783693994704,-58.96933469084964,-4.666818890717938,3.1787595553207586,,,,12.652669447546652,2.662647,1.358262,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
99100,99100,3218103481748026496,86.47261744725655,0.32455397,-1.775107527742105,0.3297258,4.578798913567166,0.39055157,5.715565,-4.923036281767719,0.38131574,-2.9036872902674262,0.356647,-0.37295848,0.11159436,-0.4005916,0.41026276,-0.27126622,0.38450882,-0.76827407,0.059663016,0.32939082,-0.2929248,0.6597977,1.0669731,287.1926093206682,0.8763076,19.541933,39.51481171027277,4.938884,21.346642,421.430718705552,5.9925237,18.18608,,,206.91856524712543,-15.372244715976052,0.99902344,-187.76781913139985,-95.33658821192796,-57.89488195227931,-5.266518579557466,3.554650412944725,,,,12.845690855500704,3.1605619999999988,1.3558529999999998,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
99354,99354,3218196802797669376,85.89660556865289,0.07355034,-1.1740711528949244,0.06931005,4.811808141333717,0.100202076,4.0771127,-3.468239817801486,0.081085734,-2.1433991807300106,0.07815041,-0.16217703,0.18378729,-0.20855236,0.2696699,-0.46267253,0.18680054,-0.72466743,0.014507177,0.5055225,-0.080270916,0.13254173,1.0486664,2462.7879017689647,2.298707,17.2088,259.31061718024915,8.076155,19.303991,3538.8454743282314,11.3848915,15.875742,,,206.0882470042278,-15.601461033179495,1.0,-179.7717676105019,-88.02358010542068,-55.89257447720745,-3.753320131459276,4.625248229615141,,,,10.620341513100882,3.428248999999999,1.3330579999999994,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
